Filename,PM7 HOMO(eV),PM7 LUMO(eV)
f15497,-9.784,-1.478
f15501,-8.16,-0.153
f15503,-8.35,-0.37
f15509,-9.263,-0.886
f15533,-8.267,-0.87
f15535,-8.121,-0.201
f15558,-8.647,-0.869
f1556,-8.658,-0.74
f1558,-8.53,-0.777
f15583,-8.282,-0.747
f15603,-8.393,-0.624
f15620,-8.565,-1.055
f15626,-8.215,-1.109
f15645,-8.023,-0.527
f1593,-8.55,-1.674
f1614,-8.164,-1.236
f17,-7.726,-0.383
f1902,-8.644,-1.872
f1909,-8.747,-1.87
f1910,-8.685,-1.858
f1914,-8.124,-1.799
f1917,-8.327,-1.833
f1925,-8.095,-1.966
f1959,-9.513,-1.754
f1976,-9.564,-2.215
f1995,-8.363,-1.347
f2022,-8.693,-0.92
f2029,-8.799,-1.093
f2045,-9.001,-1.694
f2047,-9.417,-1.591
f2048,-9.102,-1.529
f2072,-9.317,-1.658
f2074,-8.166,-1.55
f2082,-8.649,-0.986
f2089,-8.156,-1.05
f2100,-8.689,-1.166
f2107,-8.616,-1.316
f2120,-8.101,-0.983
f2123,-8.571,-1.617
f2130,-8.686,-1.416
f2132,-8.786,-2.095
f2140,-8.496,-1.943
f2142,-7.985,-1.126
f2203,-9.009,-1.719
f2205,-9.067,-1.636
f2206,-9.142,-1.761
f2207,-9.183,-1.772
f2219,-8.659,-2.06
f2224,-8.964,-0.974
f2227,-8.236,-1.438
f2270,-8.758,-1.131
f2279,-8.034,-1.628
f2281,-8.36,-2.009
f2288,-8.402,-0.974
f2298,-8.688,-1.131
f2313,-8.971,-0.988
f2315,-7.842,-0.713
f2344,-8.546,-0.95
f2347,-8.712,-0.584
f2350,-8.943,-1.276
f2356,-8.493,-0.541
f2365,-8.68,-0.841
f2367,-8.283,-0.812
f2374,-8.573,-1.489
f2406,-8.847,-0.655
f2408,-8.523,-1.403
f2420,-8.686,-1.298
f2425,-8.002,-1.078
f2429,-8.913,-1.184
f2431,-8.806,-1.03
f2444,-8.459,-1.244
f2461,-8.092,-0.929
f2470,-8.039,-0.526
f2481,-8.228,-0.52
f2501,-8.307,-0.492
f2564,-7.768,-0.274
f2569,-9.045,-1.182
f2574,-8.912,-1.234
f2585,-7.756,-0.641
f2587,-8.009,-0.261
f2610,-7.69,-0.527
f2612,-7.77,-0.4
f2626,-7.882,-1.16
f2657,-8.471,-1.229
f2664,-8.103,-0.439
f2783,-7.917,-1.192
f2844,-8.173,-0.987
f2967,-8.854,-1.504
f3244,-8.754,-1.973
f3253,-9.373,-1.74
f3255,-9.526,-1.809
f3256,-9.482,-1.805
f3276,-9.028,-2.492
f3286,-9.191,-2.222
f3318,-8.741,-1.674
f3323,-9.093,-1.319
f3333,-8.377,-1.315
f3343,-9.063,-1.483
f3344,-8.816,-1.542
f3355,-8.902,-1.334
f3376,-8.915,-1.572
f3397,-8.367,-1.475
f3402,-8.555,-1.674
f3419,-7.821,-0.844
f3423,-8.236,-1.351
f3436,-9.72,-2.079
f3442,-9.605,-1.842
f3453,-9.077,-2.634
f3459,-9.504,-2.227
f3479,-9.167,-1.725
f3485,-9.394,-2.092
f3506,-9.346,-2.013
f3512,-9.029,-2.129
f3513,-9.125,-1.677
f3534,-8.352,-1.215
f3537,-8.292,-1.257
f3538,-8.34,-1.1
f3555,-8.138,-1.199
f3556,-8.257,-1.386
f3570,-8.241,-0.948
f3599,-8.027,-1.281
f3624,-8.547,-0.838
f3628,-8.431,-1.02
f3631,-8.22,-0.957
f3640,-8.494,-0.853
f3661,-8.564,-0.819
f3663,-8.951,-1.031
f3676,-8.692,-1.895
f3683,-8.887,-1.43
f3692,-8.014,-1.965
f3698,-8.341,-1.346
f3708,-8.496,-1.423
f3714,-8.401,-1.932
f3718,-8.217,-1.276
f3719,-8.388,-1.066
f3725,-8.508,-1.629
f3732,-8.552,-1.292
f374,-8.237,-1.386
f3745,-8.652,-1.091
f3748,-8.669,-1.438
f3749,-8.498,-1.288
f3812,-8.29,-0.911
f3821,-7.728,-1.084
f384,-8.904,-2.038
f3852,-8.32,-0.84
f3853,-8.035,-0.632
f3872,-7.805,-1.253
f3874,-7.751,-0.923
f3887,-8.025,-0.994
f3904,-7.965,-1.075
f3912,-7.678,-0.656
f3926,-7.914,-0.33
f3928,-7.949,-0.143
f3932,-8.27,-0.251
f3944,-9.214,-1.129
f3956,-8.115,-0.357
f3959,-8.224,-0.301
f3974,-9.241,-1.501
f3977,-9.301,-1.582
f3982,-9.313,-1.51
f401,-8.849,-1.721
f4044,-8.965,-1.668
f4055,-7.927,-0.579
f4060,-7.989,-0.522
f4120,-8.44,-1.587
f4146,-7.261,-1.191
f4157,-8.754,-0.55
f418,-8.769,-1.711
f4185,-8.012,-1.152
f4192,-8.378,-0.805
f4207,-8.339,-1.117
f4213,-8.762,-1.96
f4218,-8.199,-1.434
f4242,-8.306,-1.193
f4250,-8.007,-1.358
f4278,-8.201,-1.381
f4295,-7.722,-1.519
f4297,-8.089,-1.466
f4302,-8.258,-0.989
f4306,-8.078,-0.493
f4311,-8.054,-0.487
f4315,-7.709,-0.823
f4319,-8.499,-0.341
f4320,-8.729,-1.028
f4322,-8.157,-1.572
f4332,-8.499,-0.897
f4333,-8.619,-0.976
f435,-8.052,-1.655
f4368,-7.557,-0.149
f437,-8.367,-1.761
f4383,-8.466,-1.436
f4392,-8.376,-1.408
f4398,-8.103,-1.419
f4420,-8.318,-1.429
f4423,-8.407,-1.377
f4426,-8.302,-0.897
f4428,-8.201,-0.98
f4430,-8.584,-1.103
f4437,-7.051,-0.407
f4441,-8.268,-0.99
f4460,-8.491,-0.783
f4506,-8.101,-0.908
f4538,-8.221,-0.679
f4556,-7.971,-0.905
f4562,-8.037,-0.922
f4567,-7.952,-0.393
f4596,-8.076,-0.973
f4597,-8.174,-1.273
f4610,-8.319,-0.957
f4614,-8.242,-0.615
f4643,-8.256,-0.716
f4651,-8.289,-1.123
f4652,-8.053,-1.277
f4697,-7.876,-1.619
f4700,-8.41,-0.854
f4727,-7.913,-0.554
f474,-8.632,-1.417
f4788,-9.254,-2.518
f4798,-8.116,-1.145
f482,-8.481,-1.058
f4968,-8.975,-2.589
f4970,-9.213,-2.207
f4971,-8.832,-2.347
f4989,-8.164,-1.805
f5005,-8.249,-1.901
f5016,-8.968,-1.297
f5041,-9.247,-2.11
f5048,-8.913,-2.275
f5054,-7.336,-1.864
f5062,-8.441,-1.713
f5066,-8.623,-1.947
f509,-8.152,-1.307
f5105,-8.124,-1.369
f5107,-8.001,-1.154
f5125,-8.855,-1.147
f5126,-8.644,-1.315
f5130,-8.814,-1.179
f5135,-8.409,-1.94
f5144,-8.77,-1.514
f5146,-8.594,-1.753
f5149,-9.176,-0.957
f5162,-8.828,-1.145
f5169,-7.923,-1.534
f5174,-8.278,-2.005
f518,-7.952,-0.968
f5227,-9.021,-1.098
f5245,-9.031,-1.76
f5249,-8.087,-1.822
f5256,-8.591,-1.555
f5265,-7.811,-0.699
f5278,-8.124,-1.165
f5298,-9.012,-2.093
f5305,-8.745,-1.684
f5313,-8.588,-1.739
f5317,-8.61,-1.201
f5337,-8.069,-1.208
f534,-9.09,-1.742
f5367,-8.197,-2.005
f5372,-8.549,-1.443
f5388,-9.476,-1.39
f5392,-9.52,-1.44
f5402,-9.313,-1.332
f5505,-7.929,-0.978
f5507,-7.998,-1.051
f5527,-8.517,-0.72
f5532,-8.09,-0.737
f5537,-8.101,-0.677
f5539,-8.08,-0.661
f5557,-9.122,-1.264
f5596,-9.143,-1.086
f5597,-9.187,-1.164
f561,-8.436,-1.756
f5637,-7.976,-0.19
f5651,-8.604,-1.331
f5690,-7.817,-0.598
f5693,-7.884,-0.734
f5694,-7.914,-0.555
f5699,-8.828,-1.617
f5704,-9.086,-1.416
f5706,-8.88,-1.316
f5723,-9.014,-1.327
f5726,-8.572,-1.799
f5738,-8.219,-2.2
f5741,-8.522,-0.734
f5745,-8.808,-1.091
f5760,-8.744,-1.061
f5810,-8.305,-0.697
f5811,-8.358,-0.712
f5819,-8.185,-1.04
f5820,-8.532,-0.92
f5832,-7.7,-0.902
f5851,-8.496,-0.978
f5863,-7.645,-0.997
f5866,-7.977,-1.223
f5870,-8.184,-1.071
f5886,-7.749,-0.258
f5888,-7.249,-0.472
f589,-8.071,-0.778
f5903,-8.237,-0.306
f5905,-8.234,-0.534
f5916,-8.003,-0.537
f593,-8.219,-0.704
f5938,-8.109,-0.627
f5940,-7.913,-0.577
f5950,-8.116,-1.063
f5963,-7.958,-0.496
f5971,-7.738,-0.414
f5980,-7.993,-0.645
f5982,-8.264,-0.649
f5985,-8.073,-0.363
f5987,-8.548,-1.07
f6004,-8.257,-1.642
f618,-8.181,-0.931
f634,-8.129,-0.452
f635,-8.114,-0.635
f6427,-8.697,-2.517
f6444,-8.856,-1.691
f6530,-8.259,-1.088
f6550,-8.123,-1.431
f6552,-8.16,-1.355
f6563,-9.405,-1.489
f6565,-8.122,-1.281
f657,-8.472,-1.394
f6593,-8.893,-1.447
f6598,-8.868,-1.372
f6610,-7.751,-1.094
f6613,-8.68,-1.988
f6618,-8.094,-0.805
f6626,-8.452,-0.517
f6628,-8.063,-0.573
f6629,-8.188,-0.694
f6634,-8.14,-0.789
f6641,-8.133,-0.787
f6644,-8.918,-1.456
f6651,-9.025,-1.405
f6656,-8.919,-1.428
f6662,-8.553,-1.602
f6663,-8.87,-1.324
f6666,-9.026,-1.382
f6667,-8.785,-1.41
f6673,-8.476,-1.543
f6685,-9.133,-1.461
f6689,-8.131,-1.976
f6694,-8.592,-1.304
f6730,-9.01,-1.67
f6753,-8.691,-1.481
f6755,-8.776,-1.332
f6768,-8.624,-1.774
f6772,-8.653,-1.402
f680,-9.678,-1.262
f6800,-8.64,-1.641
f6817,-9.426,-1.815
f6821,-9.574,-1.702
f683,-9.511,-1.061
f6832,-9.366,-1.78
f6843,-9.545,-1.951
f6846,-9.717,-1.815
f6850,-9.59,-1.676
f6875,-9.527,-1.801
f6883,-9.761,-1.782
f6901,-9.622,-1.744
f6905,-9.079,-2.231
f6935,-9.821,-1.828
f695,-7.982,0.058
f6964,-9.758,-1.685
f6997,-8.26,-1.18
f7000,-8.262,-1.284
f7006,-8.443,-1.02
f7010,-8.497,-1.142
f7021,-8.147,-1.244
f7072,-8.223,-1.091
f7073,-8.259,-1.185
f7085,-7.877,-0.636
f7089,-7.88,-0.978
f7102,-8.197,-0.967
